Bytes in file:	221
Name of file:	fuzzy-data-12.bin
Clear|Fuzzy:	fuzzy
Computer             @ Offset: 5e
science              @ Offset: 7b
education            @ Offset: b1
cannot               @ Offset: bd
make                 @ Offset: c6
anybody              @ Offset: 9e
an                   @ Offset: 8f
expert               @ Offset: a8
programmer           @ Offset: 15
any                  @ Offset: d0
more                 @ Offset: 0e
than                 @ Offset: 69
studying             @ Offset: 70
brushes              @ Offset: 47
and                  @ Offset: 41
pigment              @ Offset: 85
can                  @ Offset: 58
make                 @ Offset: 07
somebody             @ Offset: 2b
an                   @ Offset: 94
expert               @ Offset: 22
painter.             @ Offset: 36
                     @ Offset: cd
--                   @ Offset: 99
Eric                 @ Offset: 51
Raymond              @ Offset: d6
